basin_id,in_mswep,status
0137449480,True,matched
01374505,True,matched
01374531,True,matched
01374559,True,matched
01374581,True,matched
01374598,True,matched
0137462010,True,matched
01374654,True,matched
01374701,True,matched
01374781,True,matched
01374821,True,matched
01374890,True,matched
01374901,True,matched
01374918,True,matched
01374930,True,matched
01374941,True,matched
01374987,True,matched
0137499350,True,matched
01375000,True,matched
01376800,True,matched
01377000,True,matched
01377370,True,matched
01377500,True,matched
01378500,True,matched
01379773,True,matched
01379780,True,matched
01379790,True,matched
01380500,True,matched
01381000,True,matched
01381400,True,matched
01381500,True,matched
01382170,True,matched
01382500,True,matched
01383500,True,matched
01384000,True,matched
01384500,True,matched
01386000,True,matched
01387400,True,matched
01387420,True,matched
01387500,True,matched
01388000,True,matched
01388500,True,matched
01389500,True,matched
01389890,True,matched
01390450,True,matched
01390500,True,matched
01391500,True,matched
01396091,True,matched
01396190,True,matched
01396500,True,matched
01397000,True,matched
01398500,True,matched
01399500,True,matched
01399510,True,matched
01400000,True,matched
01403500,True,matched
01405500,True,matched
01406050,True,matched
01407290,True,matched
01409000,True,matched
01409280,True,matched
01409810,True,matched
01411300,True,matched
01413088,True,matched
01413398,True,matched
01413408,True,matched
01413500,True,matched
01414000,True,matched
01414500,True,matched
01415000,True,matched
01415460,True,matched
01417000,True,matched
01417500,True,matched
01419500,True,matched
01420500,True,matched
01420980,True,matched
01421000,True,matched
01421610,True,matched
01421618,True,matched
01421900,True,matched
01422389,True,matched
01422500,True,matched
01422738,True,matched
01422747,True,matched
01423000,True,matched
0142400103,True,matched
01425000,True,matched
01426500,True,matched
01427207,True,matched
01427500,True,matched
01427510,True,matched
01428000,True,matched
01428500,True,matched
01429500,True,matched
01430000,True,matched
01431500,True,matched
01432110,True,matched
01432900,True,matched
01433500,True,matched
01434000,True,matched
0143400680,True,matched
01434017,True,matched
01434021,True,matched
01434025,True,matched
01434498,True,matched
01435000,True,matched
01436000,True,matched
01436690,True,matched
01437500,True,matched
01438500,True,matched
01439500,True,matched
01439800,True,matched
01440000,True,matched
01440200,True,matched
01440400,True,matched
01440485,True,matched
01441495,True,matched
01442500,True,matched
01443280,True,matched
01443500,True,matched
01443900,True,matched
01445000,True,matched
01445500,True,matched
01446000,True,matched
01446500,True,matched
01446775,True,matched
01446776,True,matched
01447500,True,matched
01447680,True,matched
01447720,True,matched
01447800,True,matched
01448500,True,matched
01449000,True,matched
01449360,True,matched
01449800,True,matched
01450500,True,matched
01451000,True,matched
01451500,True,matched
01451650,True,matched
01451800,True,matched
01452000,True,matched
01452500,True,matched
01453000,True,matched
01454700,True,matched
01455500,True,matched
01457000,True,matched
01457500,True,matched
