basin_id,in_mswep,candidate_rank
02390000,no,1206
02391540,no,1207
02391840,no,1208
02392360,no,1209
02399200,no,1219
02400100,no,1220
02400680,no,1221
02401000,no,1222
02401390,no,1223
02404400,no,1224
02405500,no,1225
02407000,no,1226
02407514,no,1227
02408540,no,1228
02415000,no,1236
02420000,no,1241
02422500,no,1243
02423130,no,1244
02423380,no,1245
02423397,no,1246
02423400,no,1247
02423414,no,1248
02423425,no,1249
02423496,no,1250
02423500,no,1251
0242354750,no,1252
02423555,no,1253
02423630,no,1254
02424000,no,1255
02427250,no,1257
02438000,no,1263
02448900,no,1271
02449882,no,1272
02450000,no,1273
02450180,no,1274
02450250,no,1275
02450825,no,1276
02453000,no,1277
02454055,no,1278
02455000,no,1279
02455185,no,1280
02455980,no,1281
02456000,no,1282
02456500,no,1283
02457000,no,1284
02457595,no,1285
02458300,no,1286
02458450,no,1287
02458600,no,1288
02461500,no,1289
02462000,no,1290
02464000,no,1291
02464146,no,1292
02465000,no,1293
02465493,no,1295
02466030,no,1296
02467500,no,1298
02469800,no,1300
02470072,no,1301
02479945,no,1313
03010655,no,1320
03011800,no,1322
03015500,no,1328
03017500,no,1330
03021350,no,1333
03022540,no,1335
03026500,no,1340
03028000,no,1342
03031500,no,1346
03032500,no,1347
03034000,no,1348
03034500,no,1349
03036000,no,1350
03036500,no,1351
03038000,no,1352
03039000,no,1353
03040000,no,1354
03041029,no,1355
03041500,no,1356
03042000,no,1357
03042280,no,1358
03042500,no,1359
03044000,no,1360
03045000,no,1361
03047000,no,1362
03048500,no,1363
03049000,no,1364
03049500,no,1365
03049800,no,1368
03050000,no,1370
03050500,no,1371
03051000,no,1372
03052000,no,1373
03052500,no,1374
03053500,no,1375
03054500,no,1376
03056000,no,1377
03056250,no,1378
03057000,no,1379
03058000,no,1380
03058500,no,1381
03061000,no,1382
03065400,no,1387
03066000,no,1388
03067510,no,1389
03068800,no,1390
03069500,no,1391
03070500,no,1393
03072000,no,1394
03075905,no,1401
03076600,no,1403
03078000,no,1405
03085500,no,1418
03092460,no,1425
03093000,no,1426
03094000,no,1427
03095500,no,1428
03098600,no,1431
03099500,no,1433
03101500,no,1434
03102500,no,1435
03102850,no,1436
03103500,no,1438
03105500,no,1439
03106000,no,1440
03106300,no,1441
03106500,no,1442
03107500,no,1443
03108000,no,1444
03109500,no,1445
03110000,no,1446
03111500,no,1448
03114500,no,1453
03115400,no,1454
03116000,no,1456
03116077,no,1457
03118000,no,1460
03118500,no,1461
03124500,no,1463
03126000,no,1464
03127000,no,1465
03128500,no,1466
03139000,no,1471
03140000,no,1472
03140500,no,1473
03141500,no,1474
03141870,no,1475
03142000,no,1476
03144000,no,1478
03144500,no,1479
03145483,no,1482
03146500,no,1485
03149500,no,1486
03150000,no,1487
03151400,no,1488
03152000,no,1489
03157000,no,1492
03157500,no,1493
03158200,no,1494
03159246,no,1495
03159500,no,1496
03161000,no,1498
03164000,no,1499
03165000,no,1500
03165500,no,1501
03167000,no,1502
03168000,no,1504
03170000,no,1505
03171000,no,1506
03173000,no,1507
03175500,no,1508
03176500,no,1509
03177710,no,1510
03179000,no,1511
03180500,no,1512
03182500,no,1513
03183500,no,1515
03184500,no,1517
03185400,no,1519
03186500,no,1520
03187500,no,1521
03189100,no,1522
03189600,no,1523
03190000,no,1524
03193000,no,1528
03194700,no,1529
03197000,no,1532
03198000,no,1533
03198350,no,1534
03198500,no,1535
03199000,no,1536
03200500,no,1537
03201902,no,1540
03201980,no,1541
03202000,no,1542
03202400,no,1543
03202750,no,1544
03203600,no,1545
03204500,no,1546
03205470,no,1547
03207800,no,1549
03208500,no,1551
03208950,no,1552
03209000,no,1553
03209200,no,1554
03209500,no,1555
03212500,no,1557
03212750,no,1558
03212980,no,1559
03214500,no,1562
03219500,no,1566
03220000,no,1567
03221000,no,1568
03223000,no,1569
03223425,no,1570
03225500,no,1571
03226800,no,1572
03227500,no,1573
03228300,no,1574
03228500,no,1575
03228750,no,1576
03228805,no,1577
03229000,no,1578
03229500,no,1579
03229610,no,1580
03229796,no,1581
03230450,no,1582
03230500,no,1583
03230800,no,1584
03230900,no,1585
03231500,no,1586
03232000,no,1587
03232500,no,1589
03234000,no,1590
03234300,no,1591
03237280,no,1595
03237500,no,1596
03241500,no,1599
03244936,no,1600
03247500,no,1603
03259000,no,1616
03260706,no,1617
03261500,no,1618
03261950,no,1619
03262000,no,1620
03262700,no,1621
03263000,no,1622
03264000,no,1623
03265000,no,1624
03266000,no,1625
03266560,no,1626
03267000,no,1627
03267900,no,1628
03269500,no,1629
03270000,no,1630
03271000,no,1632
03271300,no,1633
03271500,no,1634
03271601,no,1635
03272000,no,1637
03272700,no,1638
