basin_id,index,in_candidate_list_rank
02450825,389,1276
02453000,390,1277
02454055,391,1278
02455000,392,1279
02455185,393,1280
02455980,394,1281
02456000,395,1282
02456500,396,1283
02457000,397,1284
02457595,398,1285
02458300,399,1286
02458450,400,1287
02458600,401,1288
02461500,402,1289
02462000,403,1290
02464000,404,1291
02464146,405,1292
02465000,406,1293
02465493,407,1295
02466030,408,1296
02467500,409,1298
02469800,410,1300
02470072,411,1301
02479945,412,1313
03010655,413,1320
03011800,414,1322
03015500,415,1328
03017500,416,1330
03021350,417,1333
03022540,418,1335
03026500,419,1340
03028000,420,1342
03031500,421,1346
03032500,422,1347
03034000,423,1348
03034500,424,1349
03036000,425,1350
03036500,426,1351
03038000,427,1352
03039000,428,1353
03040000,429,1354
03041029,430,1355
03041500,431,1356
03042000,432,1357
03042280,433,1358
03042500,434,1359
03044000,435,1360
03045000,436,1361
03047000,437,1362
03048500,438,1363
03049000,439,1364
03049500,440,1365
03049800,441,1368
03050000,442,1370
03050500,443,1371
03051000,444,1372
03052000,445,1373
03052500,446,1374
03053500,447,1375
03054500,448,1376
03056000,449,1377
03056250,450,1378
03057000,451,1379
03058000,452,1380
03058500,453,1381
03061000,454,1382
03065400,455,1387
03066000,456,1388
03067510,457,1389
03068800,458,1390
03069500,459,1391
03070500,460,1393
03072000,461,1394
03075905,462,1401
03076600,463,1403
03078000,464,1405
03085500,465,1418
03092460,466,1425
03093000,467,1426
03094000,468,1427
03095500,469,1428
03098600,470,1431
03099500,471,1433
03101500,472,1434
03102500,473,1435
03102850,474,1436
03103500,475,1438
03105500,476,1439
03106000,477,1440
03106300,478,1441
03106500,479,1442
03107500,480,1443
03108000,481,1444
03109500,482,1445
03110000,483,1446
03111500,484,1448
03114500,485,1453
03115400,486,1454
03116000,487,1456
03116077,488,1457
03118000,489,1460
03118500,490,1461
03124500,491,1463
03126000,492,1464
03127000,493,1465
03128500,494,1466
03139000,495,1471
03140000,496,1472
03140500,497,1473
03141500,498,1474
03141870,499,1475
03142000,500,1476
03144000,501,1478
03144500,502,1479
03145483,503,1482
03146500,504,1485
03149500,505,1486
03150000,506,1487
03151400,507,1488
03152000,508,1489
03157000,509,1492
03157500,510,1493
03158200,511,1494
03159246,512,1495
03159500,513,1496
03161000,514,1498
03164000,515,1499
03165000,516,1500
03165500,517,1501
03167000,518,1502
03168000,519,1504
03170000,520,1505
03171000,521,1506
03173000,522,1507
03175500,523,1508
03176500,524,1509
03177710,525,1510
03179000,526,1511
03180500,527,1512
03182500,528,1513
03183500,529,1515
03184500,530,1517
03185400,531,1519
03186500,532,1520
03187500,533,1521
03189100,534,1522
03189600,535,1523
03190000,536,1524
03193000,537,1528
03194700,538,1529
03197000,539,1532
03198000,540,1533
03198350,541,1534
03198500,542,1535
03199000,543,1536
03200500,544,1537
03201902,545,1540
03201980,546,1541
03202000,547,1542
03202400,548,1543
03202750,549,1544
03203600,550,1545
03204500,551,1546
03205470,552,1547
03207800,553,1549
03208500,554,1551
03208950,555,1552
03209000,556,1553
03209200,557,1554
03209500,558,1555
03212500,559,1557
03212750,560,1558
03212980,561,1559
03214500,562,1562
03219500,563,1566
03220000,564,1567
03221000,565,1568
03223000,566,1569
03223425,567,1570
03225500,568,1571
03226800,569,1572
03227500,570,1573
03228300,571,1574
03228500,572,1575
03228750,573,1576
03228805,574,1577
03229000,575,1578
03229500,576,1579
03229610,577,1580
03229796,578,1581
03230450,579,1582
03230500,580,1583
03230800,581,1584
03230900,582,1585
03231500,583,1586
03232000,584,1587
03232500,585,1589
03234000,586,1590
03234300,587,1591
03237280,588,1595
03237500,589,1596
03241500,590,1599
03244936,591,1600
03247500,592,1603
03259000,593,1616
03260706,594,1617
03261500,595,1618
03261950,596,1619
03262000,597,1620
03262700,598,1621
03263000,599,1622
03264000,600,1623
03265000,601,1624
03266000,602,1625
03266560,603,1626
03267000,604,1627
03267900,605,1628
03269500,606,1629
03270000,607,1630
03271000,608,1632
03271300,609,1633
03271500,610,1634
03271601,611,1635
03272000,612,1637
03272700,613,1638
03274000,614,1639
03280000,615,1651
03456100,616,1853
03466208,617,1862
03466500,618,1864
03467609,619,1866
03470000,620,1868
03471500,621,1869
03473000,622,1870
03474000,623,1871
03475000,624,1872
03478400,625,1873
03485500,626,1875
03486000,627,1876
03491544,628,1881
03505550,629,1891
03508050,630,1892
03510577,631,1894
03524000,632,1899
03527000,633,1901
03527220,634,1902
03535000,635,1907
03535400,636,1909
03539600,637,1910
03539778,638,1911
03539800,639,1912
03558000,640,1920
03559500,641,1921
03565500,642,1925
03566000,643,1926
03566420,644,1927
03574500,645,1935
0357479650,646,1936
03578000,647,1941
03578500,648,1942
03601630,649,1958
04015330,650,1963
04021520,651,1964
04024000,652,1965
04024430,653,1967
04082400,654,2038
04084445,655,2040
04188337,656,2224
04188400,657,2225
04188433,658,2226
04188496,659,2227
04189000,660,2228
04191500,661,2229
04192500,662,2230
04200500,663,2243
04201500,664,2244
04202000,665,2245
04213000,666,2251
04213075,667,2253
05046000,668,2298
05050000,669,2300
05051300,670,2301
05051500,671,2302
05051522,672,2303
05051600,673,2304
05052500,674,2305
05053000,675,2306
05054000,676,2307
05054500,677,2308
05055300,678,2309
05055400,679,2310
05058000,680,2316
05058500,681,2317
05058700,682,2318
05059000,683,2319
05059700,684,2321
05060100,685,2324
05060500,686,2325
05063398,687,2330
05064000,688,2331
05065500,689,2332
05066500,690,2333
05069000,691,2334
05074500,692,2335
05075000,693,2336
05076000,694,2337
05078000,695,2338
05078230,696,2339
05078500,697,2340
05079000,698,2341
05080000,699,2342
05082625,700,2343
05084000,701,2344
05085000,702,2345
05085450,703,2346
05087500,704,2347
05090000,705,2348
05094000,706,2349
05099400,707,2350
05101000,708,2351
05104500,709,2352
05116500,710,2353
05120500,711,2354
05123400,712,2355
05124480,713,2356
05127500,714,2357
05129115,715,2358
05131500,716,2360
05132000,717,2361
05200510,718,2362
05211000,719,2363
05212700,720,2364
05227500,721,2365
05242300,722,2366
05243725,723,2367
05244000,724,2368
05245100,725,2369
05247500,726,2370
05267000,727,2371
05270500,728,2372
05270700,729,2373
05275000,730,2374
05280000,731,2375
05286000,732,2376
05288580,733,2378
05288705,734,2379
05289800,735,2380
05294000,736,2385
05304500,737,2387
05311000,738,2388
05313500,739,2389
05315000,740,2390
05316500,741,2391
05316580,742,2392
05317000,743,2393
05319500,744,2395
05320000,745,2396
05320500,746,2398
05325000,747,2399
05327000,748,2400
05330000,749,2401
05330920,750,2402
05331833,751,2403
05336700,752,2405
05338500,753,2407
05342000,754,2409
05345000,755,2411
05353800,756,2412
05355200,757,2413
05359500,758,2417
05379400,759,2427
05383075,760,2436
05383950,761,2437
05385000,762,2438
05385500,763,2439
05387440,764,2440
