basin_id,total_steps,missing_steps,missing_rate_pct,num_gaps,max_gap_hours,mean_gap_hours,median_gap_hours,max_gap_days,mean_gap_days,gap_lengths_hours
08186500,394488,257084,65.169,106,243246,2425.32,1.0,10135.25,101.06,243246;3;3;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;192;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;5;1;2;1;1;3;1;2;1;336;67;167;2;1;1;1;1;24;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;1;2;1;1;2;1;12816;1;3;1;115
08188500,394488,394488,100.0,1,394488,394488.0,394488.0,16437.0,16437.0,394488
08188570,394488,394488,100.0,1,394488,394488.0,394488.0,16437.0,16437.0,394488
08188800,394488,394488,100.0,1,394488,394488.0,394488.0,16437.0,16437.0,394488
08189200,394488,394488,100.0,1,394488,394488.0,394488.0,16437.0,16437.0,394488
08189300,394488,244346,61.94,43,243246,5682.47,3.0,10135.25,236.77,243246;144;48;48;48;1;24;479;1;3;2;1;1;144;48;5;5;5;7;6;3;1;1;1;1;3;1;1;7;1;1;10;1;3;2;1;19;2;3;1;4;2;11
08189500,394488,243599,61.7507,33,243246,7381.79,2.0,10135.25,307.57,243246;12;6;2;4;144;48;2;1;72;1;1;1;1;2;1;1;1;1;1;24;1;3;2;2;1;2;8;1;2;3;1;1
08189700,394488,394488,100.0,1,394488,394488.0,394488.0,16437.0,16437.0,394488
08190000,394488,243823,61.8075,122,243246,1998.55,1.0,10135.25,83.27,243246;1;1;24;2;1;48;1;1;48;1;1;48;2;3;1;1;120;24;96;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;48;1;1;1;1;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
08190500,394488,244732,62.0379,50,243246,4894.64,1.0,10135.25,203.94,243246;1;1;1;2;312;935;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;3;1;1;1;1;1;1;1;30;3;2;28;20;1;1;1;1;78;14;21;1;1;1
08192000,394488,243610,61.7535,58,243246,4200.17,1.0,10135.25,175.01,243246;1;1;2;1;24;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;72;2;2;1;2;1;1;1;1;1;1;1;2;1;1;1;1;1;1;2;115;1;1;1;1;1;93
08193000,394488,243821,61.8069,31,243246,7865.19,1.0,10135.25,327.72,243246;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;72;2;72;1;2;72;2;96;1;31;194;11;1;1;1
08194000,394488,246380,62.4556,405,243246,608.35,1.0,10135.25,25.35,243246;2;1;1;2;2;1;1;1;1;1;48;1;1;1;2;240;1;72;1;1;1;120;2;1;1;1;96;24;1;96;1;1;1;768;1;1;1;120;2;4;2;144;1;1;1;1;1;1;168;1;2;1;1;1;1;1;1;1;1;3;6;1;1;1;1;3;1;3;1;1;5;6;1;2;1;1;48;3;1;24;1;3;1;24;2;2;3;73;2;1;48;2;2;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;90;1;1;19;1;1;2;3;1;3;1;2;1;1;1;1;1;1;1;1;1;1;2;1;1;1;5;10;15;11;1;1;1;2;1;1;2;1;1;1;1;1;1;1;1;2;1;1;1;3;1;1;17;3;8;6;3;1;4;10;1;1;1;2;6;1;1;1;4;1;1;5;11;30;1;15;13;3;32;1;2;2;1;3;1;2;1;1;1;1;2;1;1;4;1;2;3;1;3;1;1;1;1;1;7;2;3;1;3;1;4;1;1;1;1;3;1;1;11;22;1;1;1;1;9;25;1;1;1;1;1;1;1;1;33;39;5;1;3;2;1;2;1;1;1;2;2;1;1;2;2;1;1;1;1;2;1;2;1;2;1;2;1;2;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;25;8;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;3;1;2;1;2;2;1;1;1;1;1;1;3;2;1;1;1;1;1;1;1;1;2;1;1;1;1;2;1;1;1;1;2;3;1;2;1;1;7;2;1;1;3;1;2;1;1;4;1;1;1;3;1;1;2;1;1;1;3;1;1;1;1;31
08194200,394488,245117,62.1355,191,243246,1283.34,1.0,10135.25,53.47,243246;1;168;1;1;1;120;1;1;96;1;2;1;48;1;1;1;24;1;2;1;3;5;1;1;1;1;1;1;1;1;1;1;1;1;1;648;1;4;1;1;5;3;1;1;1;1;6;32;1;5;3;40;5;5;1;13;12;11;12;19;14;14;94;36;36;3;1;1;1;1;1;4;1;1;1;1;1;1;1;25;1;1;1;1;1;2;3;3;17;11;13;16;12;16;59;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;6;1;1;1;1;1;1;1;1;1;1;1;3;1;1;1;1;1;1;1;1;1;2;1;2;1;1;3;1;1;7;1;8;1;11;16;1;1;2;1;1;1;1;2;1;1;1;1;1;1;1;1;2;1;1;1;1;1;2;1
08194500,394488,244995,62.1046,735,243246,333.33,1.0,10135.25,13.89,243246;24;1;1;1;1;1;1;72;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;2;48;1;1;1;1;1;1;1;1;1;1;1;1;1;48;48;1;3;96;1;24;24;1;72;48;1;1;1;72;1;1;72;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;48;1;1;1;1;1;1;1;1;2;1;1;1;1;1;21;3;1;1;2;1;1;1;1;1;1;1;1;1;1;1;2;1;1;3;3;1;1;2;1;3;1;2;1;1;1;1;1;2;1;3;1;2;4;2;1;1;1;1;1;1;4;4;1;1;1;1;1;1;2;1;2;1;1;1;1;1;1;1;1;1;1;1;1;2;3;1;1;1;1;1;3;1;1;1;1;2;1;1;1;1;2;1;1;3;1;1;1;1;1;1;2;2;1;1;1;1;1;2;1;2;1;2;2;1;3;1;1;1;1;1;1;1;1;2;1;1;3;5;1;1;2;1;1;2;2;1;1;1;5;2;5;2;2;4;1;2;2;1;1;2;2;1;1;1;2;1;1;1;1;3;1;1;2;1;1;1;2;1;1;1;4;1;1;4;6;1;1;2;2;1;3;1;1;3;1;2;1;2;2;1;1;1;1;1;1;1;3;2;1;2;3;1;1;1;1;7;3;1;6;1;1;1;1;1;1;1;1;1;2;1;2;1;2;1;1;1;1;2;1;1;3;2;1;2;1;1;1;1;1;1;2;1;2;1;3;4;2;1;1;1;1;1;1;1;2;2;2;1;8;3;1;1;2;6;1;1;1;1;2;1;1;1;1;1;1;1;2;1;1;2;2;2;1;3;2;1;2;2;1;1;1;2;3;1;1;2;1;2;3;2;1;1;1;1;1;1;1;2;2;1;2;1;3;1;1;2;1;1;1;1;1;3;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;2;1;2;1;1;1;1;1;2;3;1;1;1;1;3;2;1;1;2;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;2;1;3;2;1;2;3;1;1;2;2;1;2;1;2;4;1;1;1;1;2;1;1;4;1;2;2;1;1;1;1;1;1;1;1;2;1;1;1;1;2;1;7;1;2;2;1;1;4;2;1;1;3;3;1;2;1;4;1;1;1;2;1;1;1;1;1;1;1;1;1;1;5;1;3;1;3;2;3;1;2;1;1;1;1;2;1;1;1;1;1;1;1;2;1;1;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;3;1;1;2;1;1;3;1;1;1;1;1;1;2;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;19;23;1;1;1;3;1;1;3;1;1;1;1
08195000,394488,244968,62.0977,162,243246,1512.15,1.0,10135.25,63.01,243246;1;1;2;2;2;3;1;1;2;1;2;2;5;5;1;2;1;2;1;241;96;1;1;1;1;1;1;1;1;1;1;72;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;120;120;24;384;12;23;23;23;23;23;23;10;1;48;1;1;1;1;1;1;1;1;1;1;1;1;1;2;48;1;24;1;1;1;1;3;24;23;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;12;11;1;5;3;61;1;1;1;88;1;1
08196000,394488,243316,61.6789,22,243246,11059.82,1.0,10135.25,460.83,243246;48;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1
